# BTCUSDT 1h  source=file-cache  n=8760
# from=2025-07-31T21:00:00.000Z  to=2026-07-31T20:00:00.000Z
timestamp	date	open	high	low	close	volume
1753995600000	2025-07-31T21:00:00.000Z	116514	116909.67	116228.77	116536.96	742.76679
1753999200000	2025-07-31T22:00:00.000Z	116536.96	116536.97	116010	116010.6	834.08855
1754002800000	2025-07-31T23:00:00.000Z	116010.6	116362.99	115500	115764.08	1266.02629
1754006400000	2025-08-01T00:00:00.000Z	115764.07	115933	114313.13	115427.27	2526.88761
1754010000000	2025-08-01T01:00:00.000Z	115427.27	115609.99	114600	115331.86	1656.04021
1754013600000	2025-08-01T02:00:00.000Z	115328.67	116019.3	115221.07	115966.12	704.95562
1754017200000	2025-08-01T03:00:00.000Z	115966.11	116052	115613.21	115648.03	552.44227
1754020800000	2025-08-01T04:00:00.000Z	115648.03	115699.58	115266.64	115695.52	571.24791
1754024400000	2025-08-01T05:00:00.000Z	115695.53	115916.43	115385.92	115568	511.19199
1754028000000	2025-08-01T06:00:00.000Z	115568	115658.09	115065.55	115156.51	629.39718
1754031600000	2025-08-01T07:00:00.000Z	115156.52	115300	114633.18	115081.77	1240.67026
1754035200000	2025-08-01T08:00:00.000Z	115081.76	115081.76	114116	114615.99	1432.56065
1754038800000	2025-08-01T09:00:00.000Z	114615.98	115340	114555.41	114938.67	848.20925
1754042400000	2025-08-01T10:00:00.000Z	114938.66	115203.13	114710.02	114762.58	563.088
1754046000000	2025-08-01T11:00:00.000Z	114762.58	115336.98	114602.4	115305.65	494.67127
1754049600000	2025-08-01T12:00:00.000Z	115305.64	115900	115142.62	115732.48	1062.63539
1754053200000	2025-08-01T13:00:00.000Z	115732.48	116019.3	114172	114352.05	1584.07705
1754056800000	2025-08-01T14:00:00.000Z	114352.04	115831.28	113988.47	115619.8	1808.99
1754060400000	2025-08-01T15:00:00.000Z	115619.8	115645.57	114676.03	115357.82	870.26042
1754064000000	2025-08-01T16:00:00.000Z	115357.82	115695.52	114817.81	115015.6	703.92463
1754067600000	2025-08-01T17:00:00.000Z	115015.6	115096.93	114345	114420	956.24887
1754071200000	2025-08-01T18:00:00.000Z	114420	114496.59	113669.01	113836.93	1180.88823
1754074800000	2025-08-01T19:00:00.000Z	113836.92	113922.47	113221.93	113328.68	1294.41329
1754078400000	2025-08-01T20:00:00.000Z	113328.67	113980	113168.22	113951.09	957.20378
1754082000000	2025-08-01T21:00:00.000Z	113951.1	114094.08	113700	113892.12	429.29775
1754085600000	2025-08-01T22:00:00.000Z	113892.11	114010.82	112722.58	113141.05	1368.89305
1754089200000	2025-08-01T23:00:00.000Z	113141.05	113560.46	112908.54	113297.93	538.90738
1754092800000	2025-08-02T00:00:00.000Z	113297.92	113844.16	113198.63	113822.97	564.28406
1754096400000	2025-08-02T01:00:00.000Z	113822.97	113909.3	113420.76	113674.24	353.21281
1754100000000	2025-08-02T02:00:00.000Z	113674.23	113766.43	113534.3	113702.24	231.27114
1754103600000	2025-08-02T03:00:00.000Z	113702.24	113921.94	113702.24	113909.86	274.2046
1754107200000	2025-08-02T04:00:00.000Z	113909.87	114057.27	113820	114025.75	276.30204
1754110800000	2025-08-02T05:00:00.000Z	114025.76	114063.49	113855.01	113981.06	316.01705
1754114400000	2025-08-02T06:00:00.000Z	113981.07	113981.07	113469.43	113697.85	738.65234
1754118000000	2025-08-02T07:00:00.000Z	113697.85	114021	113556.19	113982.49	343.41858
1754121600000	2025-08-02T08:00:00.000Z	113982.49	114040.29	113676.81	113682.01	340.52067
1754125200000	2025-08-02T09:00:00.000Z	113682.01	113852	113572.19	113690.7	257.96721
1754128800000	2025-08-02T10:00:00.000Z	113690.71	113704	113425.58	113550.89	298.16298
1754132400000	2025-08-02T11:00:00.000Z	113550.89	113914.25	113451.77	113787.12	238.71141
1754136000000	2025-08-02T12:00:00.000Z	113787.11	113787.12	113564.99	113620.01	343.54746
1754139600000	2025-08-02T13:00:00.000Z	113620.01	113630	113218	113457.85	451.43917
1754143200000	2025-08-02T14:00:00.000Z	113457.86	113530	112939.39	113099.89	592.6822
1754146800000	2025-08-02T15:00:00.000Z	113099.9	113420	112802.31	112840.71	535.05988
1754150400000	2025-08-02T16:00:00.000Z	112840.7	113261.16	112700.07	113200.25	635.18022
1754154000000	2025-08-02T17:00:00.000Z	113200.25	113420	112584.23	112724.03	549.02438
1754157600000	2025-08-02T18:00:00.000Z	112724.04	112920	112099.22	112327.65	1222.82947
1754161200000	2025-08-02T19:00:00.000Z	112327.65	112945.62	112003	112229.42	1007.67252
1754164800000	2025-08-02T20:00:00.000Z	112229.42	112780	112069.86	112780	524.00327
1754168400000	2025-08-02T21:00:00.000Z	112780	113058.82	112562.02	112859.32	390.78856
1754172000000	2025-08-02T22:00:00.000Z	112859.32	113011.63	112555	112862.14	295.9162
